,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
76,7174388798,Iraqi summer is here ,2022-05-20T18:40:29Z,Run,5105.3,1627,1631,12.9,"[36.19792467914522, 43.98311412893236]",5ba7e8af-5260-4bc6-b488-734622ce5a2e-activity.fit
77,7152927959,Evening Run,2022-05-16T19:35:30Z,Run,5162.4,1658,1663,25.4,"[36.23742003925145, 44.00787468999624]",1a1cf5f0-f072-4011-b2ba-e4626529c4e7-activity.fit
78,7029670342,Evening Run,2022-04-23T20:48:20Z,Run,13501.8,4557,4557,32.4,"[36.19799014180899, 43.982638539746404]",4421b15d-f2b4-47c7-bd22-d2951714e115-activity.fit
79,7018328263,Evening Run,2022-04-21T18:40:18Z,Run,5303.9,1731,1731,27.9,"[36.23746815137565, 44.00792632251978]",21e60505-bb20-498e-bfb6-842e8ea0a218-activity.fit
80,7002742351,Evening Run,2022-04-18T18:34:09Z,Run,5521.7,1824,1854,29.7,"[36.237409729510546, 44.007792295888066]",7d751f12-2695-41b2-9950-d1d46f22101f-activity.fit
81,6991876925,Evening Run,2022-04-16T18:01:25Z,Run,6345.9,2136,2136,11.7,"[36.1964351311326, 43.97966614924371]",0a54d8d0-cec6-48bf-a994-3631957bd826-activity.fit
82,6975970687,Evening Run,2022-04-13T18:42:47Z,Run,5098.8,1705,1708,23.0,"[36.23744225129485, 44.007802018895745]",ce1535fc-6f22-4f97-9c97-b663f122a7b6-activity.fit
83,6957218732,Morning Run,2022-04-10T06:10:31Z,Run,4190.3,1317,1317,19.2,"[36.23751802369952, 44.0077818185091]",332c956f-0e1a-4982-8798-2023605c146d-activity.fit
84,6952895034,Lunch Run,2022-04-09T11:43:18Z,Run,6014.7,1933,1933,13.3,"[36.2356333527714, 43.98640754632652]",5dd3a9d4-b1d8-41e3-80a4-57f350c09f18-activity.fit
85,6935520984,Evening Run,2022-04-05T18:16:34Z,Run,7207.2,2361,2364,14.9,"[36.197714041918516, 43.983484441414475]",922975e0-d95e-4198-a7eb-ca96bbf4da79-activity.fit
86,6853024259,Lunch Run,2022-03-20T11:26:22Z,Run,5300.3,1695,1724,23.3,"[55.011902041733265, -1.560411974787712]",fdf4d8b7-079d-445e-b282-1cb58adbc3e6-activity.fit
87,6843128459,Afternoon Run,2022-03-18T13:51:43Z,Run,6455.1,2151,2154,32.8,"[55.01684334129095, -1.4175725262612104]",3d29cc0b-640f-4c1b-8732-033dcc2a0650-activity.fit
88,6823139837,Evening Run,2022-03-14T18:33:33Z,Run,6006.7,1896,1896,28.1,"[36.2373794708401, 44.00984728708863]",50aab1dc-7cb4-4e46-ad9f-6bfa53d26b54-activity.fit
89,6802331006,Warm down ,2022-03-10T16:34:05Z,Run,1305.9,401,401,3.0,"[36.195862060412765, 43.98332007229328]",ebf475da-e88e-4a9d-91a3-815f07818e56-activity.fit
90,6802245130,Too sunny ,2022-03-10T15:53:54Z,Run,5125.2,1618,1618,8.9,"[36.18874775245786, 43.98184058256447]",a30b4014-6b1b-490b-b8be-ee3bdf37e181-activity.fit
91,6787446793,Afternoon Run,2022-03-07T17:57:58Z,Run,7020.3,2200,2200,13.5,"[36.19724624790251, 43.98045865818858]",65bc8ec4-2221-492e-a4b2-6e335d07d4b3-activity.fit
92,6678449610,Evening Run,2022-02-13T19:31:43Z,Run,5003.5,1709,1732,20.9,"[36.23672769404948, 44.00856217369437]",3c51c152-175a-4486-a2f9-a7aa7421eb85-activity.fit
93,6666321391,Afternoon Run,2022-02-11T17:18:10Z,Run,4204.4,1341,1341,17.6,"[36.239990182220936, 44.01131646707654]",fdeed41e-6f87-4e80-86a5-7718e658f952-activity.fit
94,6651061677,Evening Run,2022-02-08T18:43:38Z,Run,11421.0,3871,3876,82.6,"[36.23723999597132, 44.007780058309436]",42abbb59-e055-4961-a17d-f14685ec782a-activity.fit
95,6641327772,Evening Run,2022-02-06T18:58:39Z,Run,5134.1,1612,1612,20.8,"[36.237161038443446, 44.009878719225526]",dfdce527-8351-48a1-952c-c9d1943fb26e-activity.fit
96,6610490014,Evening Run,2022-01-31T19:37:17Z,Run,4586.9,1487,1487,26.5,"[36.238257894292474, 44.010399570688605]",3b5d11e9-3d6c-4421-99c2-ac515522d09c-activity.fit
97,6598406053,Afternoon Run,2022-01-29T13:27:00Z,Run,6213.8,1939,2490,21.9,"[36.225045919418335, 43.99377599358559]",0f737de4-33c1-4f48-ad26-016df516fc08-activity.fit
98,6569527086,Swallowed pint of snot ,2022-01-23T17:16:58Z,Run,5019.6,1499,1499,26.8,"[36.233664359897375, 44.00208002887666]",55861bc8-1901-40af-9e81-afd0a56408b4-activity.fit
99,6549743230,Night Run,2022-01-19T21:15:34Z,Run,2255.4,699,699,12.4,"[36.23769152909517, 44.00983404368162]",7cc60c4e-c39d-402f-97ec-9ea698ea2736-activity.fit
100,6497112283,Afternoon Run,2022-01-09T17:29:57Z,Run,6645.9,2072,2101,45.0,"[36.237643752247095, 44.00979716330767]",4810710d-9d43-4402-ab06-7ee727b06c44-activity.fit
101,6472089807,Evening Run,2022-01-04T19:06:02Z,Run,8587.2,2688,2708,37.9,"[36.19645407423377, 43.9796407520771]",82072673-6fef-4ab8-879b-ebfeb959e4e8-activity.fit
102,6466983285,Evening Run,2022-01-03T18:46:38Z,Run,8011.1,2508,2522,47.8,"[36.237507378682494, 44.008226646110415]",53d7ef6a-9096-4fb6-9fbb-944e14af2e38-activity.fit
103,6378881056,Afternoon Run,2021-12-13T17:30:03Z,Run,5170.1,1502,1514,23.5,"[36.237164391204715, 44.00799564085901]",d739bc82-4de7-44b5-a5f7-0350381ea50d-activity.fit
104,6318416983,Evening Run,2021-11-28T18:20:20Z,Run,12250.7,4062,4062,42.1,"[36.19698079302907, 43.97987418808043]",9c59b276-2147-4001-8a52-f681356b0ec0-activity.fit
105,6301531173,Chilled one ,2021-11-24T18:20:26Z,Run,5043.2,1701,1704,19.2,"[36.23788582161069, 44.00921965017915]",e7c7dd93-d850-4f12-8640-f912deea70ab-activity.fit
106,6297329864,Evening Run,2021-11-23T19:08:22Z,Run,8499.8,2685,2685,30.4,"[36.19663177058101, 43.978759394958615]",4f441535-beaf-49d0-917a-be21b47af601-activity.fit
107,6289080770,Evening Run,2021-11-21T18:36:40Z,Run,8358.1,2601,2601,48.3,"[36.23799059540033, 44.01000193320215]",fd9047c1-6b5c-45ab-8e0e-6bece5b8e069-activity.fit
108,6239032743,Evening Run,2021-11-10T18:23:09Z,Run,10004.5,3224,3354,21.4,"[36.196349216625094, 43.97943749092519]",adce5deb-e61d-4070-8540-6f744650aeb7-activity.fit
109,6220215386,Afternoon Run,2021-11-06T17:19:51Z,Run,15010.5,4802,5069,36.2,"[36.19629465043545, 43.97952089086175]",a781a0af-e62c-47a7-99f5-89d94f4196c0-activity.fit
110,6206787639,Evening Run,2021-11-03T18:48:51Z,Run,11123.9,3413,3413,45.0,"[36.197674898430705, 43.9815319608897]",5c334c03-7b37-49a9-8a2b-51b54a394da5-activity.fit
111,6193371549,Evening Run,2021-10-31T19:02:50Z,Run,6023.0,1779,1779,14.9,"[36.198144955560565, 43.98245916701853]",f1917063-a0d8-413b-a1f2-02b934385a47-activity.fit
