,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
30,7771124709,"Couch 2 5k, Wk1 , Dy2, 60 Secs On, 90 Secs Off ",2022-09-07T19:06:23Z,Run,2884.2,1115,1118,5.8,"[51.31431648507714, 1.0476035345345736]",b9d352df-444f-43e6-99a8-7e191fa50f3d-activity.fit
31,7751757025,"Couch 2 5k, 60 secs on, 90 secs off ",2022-09-04T10:35:42Z,Run,2876.0,1104,1121,5.9,"[51.31397098302841, 1.0477510560303926]",3a0d55b8-455a-4eda-9e32-fcbf74a1d80e-activity.fit
32,7742620482,Awful run,2022-09-02T16:34:22Z,Run,2357.5,948,977,17.2,"[51.296928729861975, 1.0614707227796316]",3f0a83c6-75ef-4472-aa7a-cff5611ce090-activity.fit
33,7726895053,Run,2022-08-30T18:39:25Z,Run,3393.4,1222,1228,7.1,"[51.315189795568585, 1.0465969517827034]",d69bc886-cf12-482d-ac52-5b867a228e60-activity.fit
34,7702954658,Pt 3 the bus didn't go all the way back...,2022-08-26T13:39:52Z,Run,1284.8,421,421,0.0,"[48.84016432799399, 2.2365975379943848]",a920c112-7f99-4a36-8a78-7e64fd1a3fd4-activity.fit
35,7702155812,Pt 2,2022-08-26T11:06:26Z,Run,1102.3,403,420,2.9,"[48.85853578336537, 2.257960494607687]",3cc4409e-8e2b-4de3-a0af-9b988db0ce81-activity.fit
36,7702086379,Tried to run to the eiffel ,2022-08-26T10:36:21Z,Run,2238.1,842,893,12.0,"[48.85152256116271, 2.235689526423812]",9b1af937-f4c3-4ab0-94e4-7f1a300c28eb-activity.fit
37,7684985860,Run ,2022-08-23T11:04:22Z,Run,2725.0,1041,1056,29.8,"[48.90377894975245, -0.9682852495461702]",2e9252e3-1e42-4e61-b0ea-993c9c3b43fc-activity.fit
38,7648528238,Pace is shot to gym ,2022-08-16T16:57:25Z,Run,4755.8,1729,1760,17.2,"[51.284019676968455, 1.0788988787680864]",dc446079-9efe-4d94-b4f6-1c5fd6de3933-activity.fit
39,7571054001,Post work Pr DnD run ,2022-08-02T18:03:08Z,Run,2325.8,761,761,3.6,"[51.307323379442096, 1.044981088489294]",60070fa6-db4e-42f1-a813-790ea91aa059-activity.fit
40,7552849632,Saturday Shortie ,2022-07-30T12:25:54Z,Run,2114.4,696,707,2.4,"[51.32309007458389, 1.0497545823454857]",2c858a06-3e7b-4882-9515-54b8195d4da2-activity.fit
41,7527212750,"Run, Walk, Stop ",2022-07-25T18:05:19Z,Run,5302.1,1798,2677,9.0,"[51.321168188005686, 1.0445000510662794]",e3882288-7d18-4dfa-bdd5-30f692599e58-activity.fit
42,7505712743,Short run towards gym ,2022-07-21T17:38:20Z,Run,2671.6,890,937,17.3,"[51.29747623577714, 1.063933577388525]",a93aef1d-3107-4b7a-8c25-84f0e1496d84-activity.fit
43,7463657380,Lil jaunt in the woods ,2022-07-13T19:08:50Z,Run,2499.1,842,851,11.4,"[51.3081677723676, 1.0418063588440418]",930128b8-8314-4ed9-bde8-6cb4fa0413c6-activity.fit
44,7452688335,"Post-Work, Post-Italian runnerpoo ",2022-07-11T19:24:18Z,Run,3561.4,1167,1397,8.4,"[51.313985818997025, 1.0478059574961662]",14e93e5b-2e97-4d37-aeb4-9ce4a75458a1-activity.fit
45,7436801228,Evening Shortie ,2022-07-08T20:39:31Z,Run,2220.1,706,712,3.3,"[51.306997491046786, 1.0451768897473812]",1d6b9641-67c3-4234-a610-3adc94ca92d8-activity.fit
46,7417748480,Francia Run ,2022-07-05T10:10:51Z,Run,3643.7,1226,1236,33.5,"[48.91054607927799, -0.9649721346795559]",63ed1a2f-77af-4dd0-9b9c-fb44fbc04aa3-activity.fit
47,7382647880,Shepherdswell Shortie ,2022-06-28T17:08:13Z,Run,2743.9,918,959,36.8,"[51.194778978824615, 1.2448022235184908]",7c25b3ed-c825-4baf-829f-9cb247ac77e3-activity.fit
48,7344334336,Terrible paced 5k ,2022-06-21T12:35:28Z,Run,5016.1,1899,2257,4.9,"[51.735088024288416, -2.393898367881775]",6f3bf589-f75c-4be8-95ff-3149dde5da4c-activity.fit
49,7301478771,Found the canal again ,2022-06-13T13:06:17Z,Run,1105.2,348,348,0.0,"[51.73631513491273, -2.3957164864987135]",0326f17a-168b-45a8-a8e3-8062481ddd95-activity.fit
50,7301424731,Got lost in a farmers field,2022-06-13T12:42:07Z,Run,3089.0,1003,1063,2.4,"[51.740906490013, -2.385091921314597]",b5aa9f36-7127-4589-ba13-131f43182a2b-activity.fit
51,7285032708,Lil Bday Run ,2022-06-10T12:43:17Z,Run,1940.0,648,655,18.5,"[50.679290257394314, -3.493432067334652]",d0d5a60a-da33-4dbd-8c70-0ad9e52b8148-activity.fit
52,7269234375,Running w/ the birds along the canal ,2022-06-07T12:35:33Z,Run,4063.8,1266,1272,2.7,"[51.73626274801791, -2.3959122877568007]",87d6427a-52af-42fd-aa58-043529107f8a-activity.fit
53,7247291728,First 5km in a while ,2022-06-03T10:38:27Z,Run,5046.1,1605,2195,12.9,"[50.67584068514407, -3.468717187643051]",4a887467-7351-4268-96a4-733e840c40d2-activity.fit
54,7186195980,Legs are gone ,2022-05-22T17:29:06Z,Run,4223.3,1408,1793,4.6,"[51.32420084439218, 1.0543811414390802]",7e099511-5629-46f1-b281-471adf61693a-activity.fit
55,7153463213,Nug Evening Run ,2022-05-16T19:08:44Z,Run,2617.5,803,1074,2.4,"[51.320645743981004, 1.0434037819504738]",031c7f10-e343-40f6-9bf7-d37c45b38cbc-activity.fit
56,7123491856,Havent done a run in a spell ,2022-05-11T09:10:13Z,Run,5140.1,1695,1961,9.0,"[51.320819249376655, 1.0435881838202477]",e1801913-53f1-40d9-b60d-eaec4e8b7d5f-activity.fit
57,7054850445,Post-Interview Destresser,2022-04-28T15:32:52Z,Run,5113.9,1739,2143,9.0,"[51.32084062322974, 1.0436072945594788]",55e3c1f5-2353-490d-84cd-6602ac87df21-activity.fit
58,7017845136,Nice run in the sun ,2022-04-21T14:49:51Z,Run,6377.8,2093,2860,44.9,"[51.31997183896601, 1.0438205301761627]",04bce0d8-4831-4ced-aa35-c886c5b26df3-activity.fit
